
# Surface 0 of 1 surfaces

# Curve title: "'Datos/dataContour.txt'"

# IsoCurve 0, 100 points
# x y z type
 97  13  8.09391e-06 o
 97  14  8.79718e-06 o
 97  15  3.30258e-06 o
 97  16 -5.84522e-06 o
 97  17 -1.2626e-05 o
 97  18 -1.53282e-05 o
 97  19  1.38291e-06 o
 97  20  1.41808e-05 o
 97  21  3.3884e-05 o
 97  22  4.4565e-05 o
 97  23  4.35076e-05 o
 97  24  6.58728e-05 o
 97  25  0.000114563 o
 97  26  0.000221354 o
 97  27  0.000345151 o
 97  28  0.000522879 o
 97  29  0.00077681 o
 97  30  0.00109987 o
 97  31  0.0015199 o
 97  32  0.00206537 o
 97  33  0.00269513 o
 97  34  0.00340798 o
 97  35  0.00419009 o
 97  36  0.00494918 o
 97  37  0.00586197 o
 97  38  0.00687465 o
 97  39  0.0076158 o
 97  40  0.00845631 o
 97  41  0.00953561 o
 97  42  0.00992093 o
 97  43  0.0100498 o
 97  44  0.0109777 o
 97  45  0.0119004 o
 97  46  0.0118914 o
 97  47  0.0118591 o
 97  48  0.0125078 o
 97  49  0.0121385 o
 97  50  0.0113674 o
 97  51  0.0121385 o
 97  52  0.0125078 o
 97  53  0.0118591 o
 97  54  0.0118914 o
 97  55  0.0119004 o
 97  56  0.0109777 o
 97  57  0.0100498 o
 97  58  0.00992093 o
 97  59  0.00953561 o
 97  60  0.00845631 o
 97  61  0.0076158 o
 97  62  0.00687465 o
 97  63  0.00586197 o
 97  64  0.00494918 o
 97  65  0.00419009 o
 97  66  0.00340798 o
 97  67  0.00269513 o
 97  68  0.00206537 o
 97  69  0.0015199 o
 97  70  0.00109987 o
 97  71  0.00077681 o
 97  72  0.000522879 o
 97  73  0.000345151 o
 97  74  0.000221354 o
 97  75  0.000114563 o
 97  76  6.58728e-05 o
 97  77  4.35076e-05 o
 97  78  4.4565e-05 o
 97  79  3.3884e-05 o
 97  80  1.41808e-05 o
 97  81  1.38291e-06 o
 97  82 -1.53282e-05 o
 97  83 -1.2626e-05 o
 97  84 -5.84522e-06 o
 97  85  3.30258e-06 o
 97  86  8.79718e-06 o
 97  87  8.09391e-06 o
 97  88  4.94717e-06 o
 97  89  1.25958e-06 o
 97  90 -9.75103e-07 o
 97  91 -1.64469e-06 o
 97  92 -1.36813e-06 o
 97  93 -8.27533e-07 o
 97  94 -3.97415e-07 o
 97  95 -1.56672e-07 o
 97  96 -5.14886e-08 o
 97  97 -1.42177e-08 o
 97  98 -3.31145e-09 o
 97  99 -6.64596e-10 o

# IsoCurve 3, 100 points
# x y z type
 96  0 -1.22546e-09 o
 96  1 -3.27694e-09 o
 96  2 -1.38643e-08 o
 96  3 -5.07309e-08 o
 96  4 -1.55607e-07 o
 96  5 -3.96591e-07 o
 96  6 -8.26883e-07 o
 96  7 -1.36276e-06 o
 96  8 -1.62457e-06 o
 96  9 -9.27534e-07 o
 96  10  1.33728e-06 o
 96  11  4.86334e-06 o
 96  12  8.37358e-06 o
 96  13  8.08936e-06 o
 96  14  3.42627e-06 o
 96  15 -6.37929e-06 o
 96  16 -1.67264e-05 o
 96  17 -1.43998e-05 o
 96  18 -9.83326e-06 o
 96  19  1.43106e-05 o
 96  20  3.2835e-05 o
 96  21  4.79533e-05 o
 96  22  7.07494e-05 o
 96  23  0.00010471 o
 96  24  0.000202254 o
 96  25  0.000359717 o
 96  26  0.00058137 o
 96  27  0.000855877 o
 96  28  0.00123076 o
 96  29  0.00170542 o
 96  30  0.00227569 o
 96  31  0.0030131 o
 96  32  0.00397265 o
 96  33  0.00496163 o
 96  34  0.00592448 o
 96  35  0.0070372 o
 96  36  0.00808996 o
 96  37  0.00902727 o
 96  38  0.0100921 o
 96  39  0.0110059 o
 96  40  0.0116191 o
 96  41  0.0121876 o
 96  42  0.0124158 o
 96  43  0.0126766 o
 96  44  0.0132627 o
 96  45  0.0131153 o
 96  46  0.0128134 o
 96  47  0.0135348 o
 96  48  0.014024 o
 96  49  0.0128241 o
 96  50  0.0116861 o
 96  51  0.0128241 o
 96  52  0.014024 o
 96  53  0.0135348 o
 96  54  0.0128134 o
 96  55  0.0131153 o
 96  56  0.0132627 o
 96  57  0.0126766 o
 96  58  0.0124158 o
 96  59  0.0121876 o
 96  60  0.0116191 o
 96  61  0.0110059 o
 96  62  0.0100921 o
 96  63  0.00902727 o
 96  64  0.00808996 o
 96  65  0.0070372 o
 96  66  0.00592448 o
 96  67  0.00496163 o
 96  68  0.00397265 o
 96  69  0.0030131 o
 96  70  0.00227569 o
 96  71  0.00170542 o
 96  72  0.00123076 o
 96  73  0.000855877 o
 96  74  0.00058137 o
 96  75  0.000359717 o
 96  76  0.000202254 o
 96  77  0.00010471 o
 96  78  7.07494e-05 o
 96  79  4.79533e-05 o
 96  80  3.2835e-05 o
 96  81  1.43106e-05 o
 96  82 -9.83326e-06 o
 96  83 -1.43998e-05 o
 96  84 -1.67264e-05 o
 96  85 -6.37929e-06 o
 96  86  3.42627e-06 o
 96  87  8.08936e-06 o
 96  88  8.37358e-06 o
 96  89  4.86334e-06 o
 96  90  1.33728e-06 o
 96  91 -9.27534e-07 o
 96  92 -1.62457e-06 o
 96  93 -1.36276e-06 o
 96  94 -8.26883e-07 o
 96  95 -3.96591e-07 o
 96  96 -1.55607e-07 o
 96  97 -5.07309e-08 o
 96  98 -1.38643e-08 o
 96  99 -3.27694e-09 o

# IsoCurve 4, 100 points
# x y z type
 95  0 -5.94175e-09 o
 95  1 -1.3745e-08 o
