0 -3.44107e-18 -0.00960595
1 -0.0019609 -0.0105948
2 -0.00445052 -0.0108209
3 -0.0071729 -0.0102431
4 -0.00935462 -0.00887856
5 -0.00941223 -0.00680292
6 -0.0068518 -0.0041469
7 -0.00234523 -0.00108838
8 0.00182705 0.00215906
9 0.00459676 0.00536062
10 0.00652264 0.00827668
11 0.00897648 0.0106802
12 0.0117226 0.0123736
13 0.0128925 0.0132044
14 0.012403 0.0130777
15 0.0111662 0.0119654
16 0.00999232 0.00991057
17 0.00706835 0.00702703
18 0.00345026 0.00349394
19 -0.000325961 -0.000454723
20 -0.00379076 -0.00454482
21 -0.00808022 -0.0084802
22 -0.0114788 -0.011963
23 -0.0139458 -0.0147152
24 -0.0156339 -0.016499
25 -0.0166657 -0.0171359
26 -0.0163375 -0.0165219
27 -0.0140787 -0.0146382
28 -0.0114051 -0.0115568
29 -0.00719499 -0.00743903
30 -0.00300345 -0.00252933
31 0.00301891 0.00285843
32 0.00754461 0.00835912
33 0.0129066 0.0135791
34 0.0169763 0.0181221
35 0.0210617 0.0216157
36 0.0224977 0.0237387
37 0.023604 0.0242451
38 0.0224107 0.0229852
39 0.0196705 0.0199202
40 0.014865 0.0151317
41 0.00877705 0.00882327
42 0.00198194 0.00131369
43 -0.00671108 -0.0069759
44 -0.0144866 -0.0155426
45 -0.0231138 -0.0238278
46 -0.0294953 -0.0312469
47 -0.0364636 -0.0372221
48 -0.0393737 -0.0412144
49 -0.0417745 -0.0427536
50 -0.0397498 -0.0414634
51 -0.0366287 -0.0370794
52 -0.028484 -0.029457
53 -0.0185861 -0.0185647
54 -0.00468032 -0.00446112
55 0.0117014 0.012756
56 0.0313265 0.0330413
57 0.0545802 0.05657
58 0.0806472 0.0840634
59 0.114385 0.117487
60 0.156685 0.16176
61 0.2248 0.229711
62 0.335268 0.36016
63 0.472506 0.712347
64 0.403919 2.58232
65 -5.75982e-16 -nan
66 -0.403919 -2.58232
67 -0.472506 -0.712347
68 -0.335268 -0.36016
69 -0.2248 -0.229711
70 -0.156685 -0.16176
71 -0.114385 -0.117487
72 -0.0806472 -0.0840634
73 -0.0545802 -0.05657
74 -0.0313265 -0.0330413
75 -0.0117014 -0.012756
76 0.00468032 0.00446112
77 0.0185861 0.0185647
78 0.028484 0.029457
79 0.0366287 0.0370794
80 0.0397498 0.0414634
81 0.0417745 0.0427536
82 0.0393737 0.0412144
83 0.0364636 0.0372221
84 0.0294953 0.0312469
85 0.0231138 0.0238278
86 0.0144866 0.0155426
87 0.00671108 0.0069759
88 -0.00198194 -0.00131369
89 -0.00877705 -0.00882327
90 -0.014865 -0.0151317
91 -0.0196705 -0.0199202
92 -0.0224107 -0.0229852
93 -0.023604 -0.0242451
94 -0.0224977 -0.0237387
95 -0.0210617 -0.0216157
96 -0.0169763 -0.0181221
97 -0.0129066 -0.0135791
98 -0.00754461 -0.00835912
99 -0.00301891 -0.00285843
100 0.00300345 0.00252933
101 0.00719499 0.00743903
102 0.0114051 0.0115568
103 0.0140787 0.0146382
104 0.0163375 0.0165219
105 0.0166657 0.0171359
106 0.0156339 0.016499
107 0.0139458 0.0147152
108 0.0114788 0.011963
109 0.00808022 0.0084802
110 0.00379076 0.00454482
111 0.000325961 0.000454723
112 -0.00345026 -0.00349394
113 -0.00706835 -0.00702703
114 -0.00999232 -0.00991057
115 -0.0111662 -0.0119654
116 -0.012403 -0.0130777
117 -0.0128925 -0.0132044
118 -0.0117226 -0.0123736
119 -0.00897648 -0.0106802
120 -0.00652264 -0.00827668
121 -0.00459676 -0.00536062
122 -0.00182705 -0.00215906
123 0.00234523 0.00108838
124 0.0068518 0.0041469
125 0.00941223 0.00680292
126 0.00935462 0.00887856
127 0.0071729 0.0102431
128 0.00445052 0.0108209
129 0.0019609 0.0105948
