
# Surface 0 of 1 surfaces

# Curve title: "'Datos/dataContour.txt'"

# IsoCurve 0, 100 points
# x y z type
 97  12 -2.62651e-05 o
 97  13 -2.1585e-05 o
 97  14 -3.1775e-05 o
 97  15 -1.2847e-05 o
 97  16 -9.46886e-06 o
 97  17 -1.81428e-05 o
 97  18 -1.11387e-06 o
 97  19  1.03478e-06 o
 97  20  1.31432e-05 o
 97  21  2.02582e-05 o
 97  22  1.41762e-05 o
 97  23  3.7708e-05 o
 97  24  3.43511e-05 o
 97  25  9.89652e-05 o
 97  26  0.000214091 o
 97  27  0.000454673 o
 97  28  0.000825152 o
 97  29  0.00140119 o
 97  30  0.0022529 o
 97  31  0.00353894 o
 97  32  0.00527886 o
 97  33  0.00759426 o
 97  34  0.0103215 o
 97  35  0.0133646 o
 97  36  0.0163946 o
 97  37  0.0190791 o
 97  38  0.0211305 o
 97  39  0.0222837 o
 97  40  0.0225669 o
 97  41  0.0220062 o
 97  42  0.0210141 o
 97  43  0.0199793 o
 97  44  0.0193684 o
 97  45  0.0195816 o
 97  46  0.0206786 o
 97  47  0.022487 o
 97  48  0.0244543 o
 97  49  0.0259904 o
 97  50  0.0265579 o
 97  51  0.0259904 o
 97  52  0.0244543 o
 97  53  0.022487 o
 97  54  0.0206786 o
 97  55  0.0195816 o
 97  56  0.0193684 o
 97  57  0.0199793 o
 97  58  0.0210141 o
 97  59  0.0220062 o
 97  60  0.0225669 o
 97  61  0.0222837 o
 97  62  0.0211305 o
 97  63  0.0190791 o
 97  64  0.0163946 o
 97  65  0.0133646 o
 97  66  0.0103215 o
 97  67  0.00759426 o
 97  68  0.00527886 o
 97  69  0.00353894 o
 97  70  0.0022529 o
 97  71  0.00140119 o
 97  72  0.000825152 o
 97  73  0.000454673 o
 97  74  0.000214091 o
 97  75  9.89652e-05 o
 97  76  3.43511e-05 o
 97  77  3.7708e-05 o
 97  78  1.41762e-05 o
 97  79  2.02582e-05 o
 97  80  1.31432e-05 o
 97  81  1.03478e-06 o
 97  82 -1.11387e-06 o
 97  83 -1.81428e-05 o
 97  84 -9.46886e-06 o
 97  85 -1.2847e-05 o
 97  86 -3.1775e-05 o
 97  87 -2.1585e-05 o
 97  88 -2.62651e-05 o
 97  89  1.33695e-05 o
 97  90  1.07188e-05 o
 97  91  2.45364e-05 o
 97  92  3.9181e-05 o
 97  93  4.24737e-05 o
 97  94  4.53768e-05 o
 97  95  5.3691e-06 o
 97  96  4.50889e-06 o
 97  97 -6.30284e-06 o
 97  98 -9.93805e-06 o
 97  99 -3.98345e-05 o

# IsoCurve 3, 100 points
# x y z type
 96  0 -5.77205e-05 o
 96  1 -3.95237e-05 o
 96  2 -1.82366e-05 o
 96  3  6.31509e-06 o
 96  4 -5.25818e-06 o
 96  5  1.3296e-05 o
 96  6  2.02518e-05 o
 96  7  5.33638e-05 o
 96  8  4.86131e-05 o
 96  9  2.41026e-05 o
 96  10  4.70973e-06 o
 96  11 -1.36737e-05 o
 96  12  8.74066e-06 o
 96  13 -4.66201e-08 o
 96  14 -4.9418e-06 o
 96  15 -2.49856e-05 o
 96  16 -2.10685e-05 o
 96  17 -1.26692e-05 o
 96  18 -3.56446e-06 o
 96  19 -1.38689e-05 o
 96  20  9.55243e-06 o
 96  21  3.03042e-05 o
 96  22  0.000100076 o
 96  23  0.000179909 o
 96  24  0.00032691 o
 96  25  0.000568364 o
 96  26  0.000959096 o
 96  27  0.00160697 o
 96  28  0.00261699 o
 96  29  0.00407501 o
 96  30  0.00603556 o
 96  31  0.00845665 o
 96  32  0.0112849 o
 96  33  0.0143298 o
 96  34  0.017284 o
 96  35  0.0198043 o
 96  36  0.0214695 o
 96  37  0.0219709 o
 96  38  0.0212604 o
 96  39  0.0194591 o
 96  40  0.0171728 o
 96  41  0.0148205 o
 96  42  0.0130969 o
 96  43  0.0120324 o
 96  44  0.0115247 o
 96  45  0.0111345 o
 96  46  0.0104614 o
 96  47  0.00936341 o
 96  48  0.00803487 o
 96  49  0.00692043 o
 96  50  0.00650357 o
 96  51  0.00692043 o
 96  52  0.00803487 o
 96  53  0.00936341 o
 96  54  0.0104614 o
 96  55  0.0111345 o
 96  56  0.0115247 o
 96  57  0.0120324 o
 96  58  0.0130969 o
 96  59  0.0148205 o
 96  60  0.0171728 o
 96  61  0.0194591 o
 96  62  0.0212604 o
 96  63  0.0219709 o
 96  64  0.0214695 o
 96  65  0.0198043 o
 96  66  0.017284 o
 96  67  0.0143298 o
 96  68  0.0112849 o
 96  69  0.00845665 o
 96  70  0.00603556 o
 96  71  0.00407501 o
 96  72  0.00261699 o
 96  73  0.00160697 o
 96  74  0.000959096 o
 96  75  0.000568364 o
 96  76  0.00032691 o
 96  77  0.000179909 o
 96  78  0.000100076 o
 96  79  3.03042e-05 o
 96  80  9.55243e-06 o
 96  81 -1.38689e-05 o
 96  82 -3.56446e-06 o
 96  83 -1.26692e-05 o
 96  84 -2.10685e-05 o
 96  85 -2.49856e-05 o
 96  86 -4.9418e-06 o
 96  87 -4.66201e-08 o
 96  88  8.74066e-06 o
 96  89 -1.36737e-05 o
 96  90  4.70973e-06 o
 96  91  2.41026e-05 o
 96  92  4.86131e-05 o
 96  93  5.33638e-05 o
 96  94  2.02518e-05 o
 96  95  1.3296e-05 o
 96  96 -5.25818e-06 o
 96  97  6.31509e-06 o
 96  98 -1.82366e-05 o
 96  99 -3.95237e-05 o

# IsoCurve 4, 100 points
# x y z type
 95  0 -2.36656e-05 o
 95  1 -3.64071e-05 o
 95  2 -2.52654e-05 o
 95  3 -1.79216e-05 o
 95  4  1.5287e-05 o
 95  5  9.28076e-06 i
 95  6  1.86753e-05 i
 95  7  2.48583e-05 i
 95  8  3.82154e-05 i
 95  9  2.86634e-05 i
 95  10 -1.29519e-06 i
 95  11 -1.23941e-06 i
 95  12  1.55783e-05 i
 95  13  2.78973e-05 i
 95  14  7.76842e-06 i
 95  15 -1.77639e-05 i
 95  16 -2.83752e-05 i
 95  17  4.08356e-06 i
 95  18  9.76768e-06 i
 95  19  5.12377e-05 i
 95  20  6.03461e-05 i
 95  21  0.000142443 i
 95  22  0.000270932 i
 95  23  0.000532512 i
 95  24  0.00098005 i
 95  25  0.00167998 i
 95  26  0.00270019 i
 95  27  0.00416858 i
 95  28  0.00606988 i
 95  29  0.00855348 i
 95  30  0.0113854 i
 95  31  0.0144781 i
 95  32  0.017379 i
 95  33  0.0196424 i
 95  34  0.0209412 i
 95  35  0.0209054 i
 95  36  0.0196725 i
 95  37  0.0173859 i
 95  38  0.0145959 i
 95  39  0.0118049 i
 95  40  0.00932449 i
 95  41  0.00744978 i
 95  42  0.00601764 i
 95  43  0.00489049 i
 95  44  0.00376066 i
 95  45  0.00227019 i
 95  46  0.000477131 i
 95  47 -0.00164782 i
 95  48 -0.00358876 i
 95  49 -0.00503446 i
 95  50 -0.00553917 i
 95  51 -0.00503446 i
 95  52 -0.00358876 i
 95  53 -0.00164782 i
 95  54  0.000477131 i
 95  55  0.00227019 i
 95  56  0.00376066 i
 95  57  0.00489049 i
 95  58  0.00601764 i
 95  59  0.00744978 i
 95  60  0.00932449 i
 95  61  0.0118049 i
 95  62  0.0145959 i
 95  63  0.0173859 i
 95  64  0.0196725 i
 95  65  0.0209054 i
 95  66  0.0209412 i
 95  67  0.0196424 i
 95  68  0.017379 i
 95  69  0.0144781 i
 95  70  0.0113854 i
 95  71  0.00855348 i
 95  72  0.00606988 i
 95  73  0.00416858 i
 95  74  0.00270019 i
 95  75  0.00167998 i
 95  76  0.00098005 i
 95  77  0.000532512 i
 95  78  0.000270932 i
 95  79  0.000142443 i
 95  80  6.03461e-05 i
 95  81  5.12377e-05 i
 95  82  9.76768e-06 i
 95  83  4.08356e-06 i
 95  84 -2.83752e-05 i
 95  85 -1.77639e-05 i
 95  86  7.76842e-06 i
 95  87  2.78973e-05 i
 95  88  1.55783e-05 i
 95  89 -1.23941e-06 i
 95  90 -1.29519e-06 i
 95  91  2.86634e-05 i
 95  92  3.82154e-05 i
 95  93  2.48583e-05 i
 95  94  1.86753e-05 i
 95  95  9.28076e-06 i
 95  96  1.5287e-05 o
 95  97 -1.79216e-05 o
 95  98 -2.52654e-05 o
 95  99 -3.64071e-05 o

# IsoCurve 5, 100 points
# x y z type
 94  0 -1.44036e-05 o
 94  1 -9.80092e-06 o
 94  2 -3.75248e-05 o
 94  3 -1.79343e-05 o
 94  4 -3.57234e-06 o
 94  5  2.09899e-05 i
 94  6  1.39743e-05 i
 94  7  2.27071e-06 i
 94  8  3.28717e-06 i
 94  9  1.1596e-05 i
 94  10  2.22197e-05 i
 94  11  2.69433e-05 i
 94  12  1.83442e-05 i
